中文,英文,例句（中英文）,分类,出处,道次第补充目录,页码/日期/题目,备注,,,
不满的、不满足的,discontented,"然而，身为一个受训练成的佛教徒，对于佛教只是被联想成素食主义、非暴力、祥和、禅坐等，还是感到有点不满足。However, as a trained Buddhist, I also feel a little discontented when Buddhism is associated with nothing beyong vegetarianism, nonviolence, peace, and meditation.",读书会,正见,,Introduction P1,,,,
不起烦恼妄想,the restless mind,"真正的禅，是在日常生活中不起烦恼妄想。True meditation , is to calm , the restless mind, in everyday living.",各种开示,静思语,,静思语第100条,证严上人,,,
不起恨意,do not let the seeds of hatred sprout,"既要不卑不亢地保护自己，又要调整自己的心念，不起恨意。You need to protect yourself without being too submissive or too arrogant. Meanwhile, adjust your mind and do not let the seeds of hatred sprout.",龙泉寺,龙泉微开示,,10/5/2017,学诚法师,,,
不清净,defiled,"All these indicate that we are in doubt and distraction, that our minds are already defiled with rising afflictions.诸如此类，都是一种怀疑，都是一种散乱。也就是我们内心已经是烦恼在躁动，不是一个清净的心。",龙泉寺,LQI20170809,,为什么说学的人要清净 | As Disciples We Should Have Inner Peace and Quiet,学诚法师,,,
不确定性、不稳定性,uncertainty and instability,Impermanence entails uncertainty and instability因为是无常的，所以它存在不确定性和不稳定性,龙泉寺,LQI20170629,,觉照无常智慧生,学诚法师,,,
不杀戒,do not kill,The first precept is do not kill. 第一戒是不杀。,读书会,故道白云,,,P231,?,,
不杀生,refrain from killing,"不杀生乃至放生，少吃肉多吃素，照顾病人，布施医药，爱护生命，都是健康长寿之因。The causes for good health and longevity are many, including refraining from killing and releasing caged animals for merit, having less meat but more vegetables, attending to the sick, donating medicine, and caring for life.",龙泉寺,龙泉微开示,,7/13/2017,学诚法师,,,
不胜赞赏,deepest praises,"When Patacara presented her poem to Sister Mahapajapati, the abbess gave it her deepest praises.波多恰拉把这首诗逞给摩诃波阇波提尼师过目时，这位主持对她不胜赞赏。",读书会,故道白云,,第五十五章,P549,,,
不实修专念,mindfulness is not practiced,"When mindfulness is not practiced, it is impossible to see the true nature of perceptions and feelings.如果不实修专念，根本就没可能见到思想感受的真性。",读书会,故道白云,,,P592,?,,
不受影响的，无动于衷的,impervious,We've become impervious to obvious signs of decay.我们对衰朽的征象已经产生了免疫力。,读书会,正见,,Chapter 1 P10,,,,
不偷盗,do not steal,The second precept is do not steal. 第二戒是不偷盗,读书会,故道白云,,,P232,?,,
不妄语,do not say untruthful things,The fourth precept is do not say untruthful things.第四戒是不妄语,读书会,故道白云,,,P232,?,,
不邪淫,do not engage in sexual misconduct,The third precept is do not engage in sexual misconduct.第三戒是不作任何不道德的性行为。,读书会,故道白云,,,P232,?,,
不要计较,"Be forgiving, and less critical","对别人不要计较，对自己要好好检讨。Be forgiving, and less critical of others,, but be strict, and objective, in examining ourselves.",各种开示,静思语,,静思语第76条,证严上人,,,
不饮酒,do not use alcohol or any other stimulants,The fifth precept is do not use alcohol or any other stimulants.第五戒是不饮用酒或其他刺激性物品。,读书会,故道白云,,,P232,?,,
"不应取法,不应取非法",,"Therefore, one should not grasp and hold on to the notion of Dharma as well as that of Not-Dhama.是故不应取法，不应取非法",经论,金刚经,,英语佛教微信公众号,,,,
不知不觉,be not conscious of,This is a kind of differentiation which people are usually not conscious of. Buddhists or non-Buddhists are no exception这是一种分别心，但他不知不觉。不信佛的人有这种心理，信佛的人也有这种心理。,龙泉寺,LQI20170913,,心香一炷 | A Stick of Incense in Our Heart,学诚法师,,,
不重要的，微不足道的,inconsequential,"But for a being who has understood emptiness, as Siddhartha had, notions such as praise and criticism, veneration and contempt, good and bad are utterly inconsequential.然而，对一位如悉达多一般已经了悟空性者，诸如赞誉与批评、尊重与藐视、好与坏的概念全都不重要。",读书会,正见,,Chapter 3 P58,,,,
不住声香味触法布施,"without a mind abiding in sound,or in smell, or in taste,or in touch or in things.","or he should give without a mind abiding in sound,or in smell, or in taste,or in touch or in things.不住声香味触法布施",经论,金刚经,,英语佛教微信公众号,,,,
布伽罗萨帝,Pokkharasadi,"A large number of brahmana intellectuals became disciples of the Buddha, including a well-known brahman named Ambattha and his teacher Pokkharasadi, in the village of Lechanankala.其中包括了在离车难伽那村的着名婆罗门阿摩伽和他的老师布伽罗萨帝。",读书会,故道白云,,,P599,?,,
布萨,Uposatha,每半个月举行一次布萨羯磨（诵戒的集会）。A recitation assembly (Uposatha Kamma) is held every half-month.,微信群,佛教常识问答,,第三章第24问,作者：赵朴初,,,
布施,,donate,龙泉寺,龙泉微开示,,7/13/2017,Almsgiving; Charity;Giving,,,
布施,giving,"布施可以破除自身悭贪，解除内在匮乏，开显生命的富有。Giving can rid us of covetousness, free us from the poverty of mind, and bring out the richness of life. ​​​​",菩提书院,导师微博,,6/1/2017,,,,
布施,give,供养三宝，广行布施，就是修福；闻思佛法，调伏烦恼，就是修慧。Making offerings to the Three Jewels and giving extensively are cultivating merit; studying and reflecting on the Buddha Dharma as well as taming afflictions are cultivating wisdom.,龙泉寺,龙泉微开示,,9/12/2017,学诚法师,,,
步态，步伐,gait,"Because of this lack of self-consciousness, his gait was so majestic that the five meditators had no choice but to stand.由于他毫无自我意识，步伐如此庄严，这五位禅修者不由自主地站了起来。",读书会,正见,,Chapter 3 P58,,,,
部分永恒四论,four theories of partial eternalism,"He spoke on theeighteen theories concerning the past—four theories of eternalism, four theories of partial eternalism, four theories on the finitude and infinity of the world, four theories of endless equivocation, and two theories that claim that causality does not exist.他先说有关过去的十八种学说，永恒四论、部分永恒四论、有限与无限四论、无尽含糊四论、以及相信无因二论。",读书会,故道白云,,,P591,?,,
财富的因上入手去修,start from planting seeds for future fruit of wealth,"但是修行人是在财富的因上入手去修，而世间人是在这个果上去求。They cultivate themselves,starting from planting seeds for future fruit of wealth, while people in the secular world seek the result or fruit.",龙泉寺,龙泉微开示,,2/1/2017,学诚法师,,,
财施无畏施法施,material Danafree-from-fear givings (abhaya Dana)Dhamma Dana,"凡以物质利益施与大众的叫做“财施”，包括身外的财物和自身的头目手足和生命；凡保护大众的安全使他们没有怖畏的叫做“无畏施”；凡以真理告知大众的叫做“法施”。giving material things to others including worldly possessions, even one’s own head, eyes, hands, feet and life, known as material Dana; giving protection to all beings and to free them from terror, called the free-from-fear givings (abhaya Dana); giving all beings the truth, is the Dhamma Dana.",微信群,佛教常识问答,,第二章第29问,作者：赵朴初,,,
采菊东篱下，悠然见南山,"""picking chrysanthemum along the east hedgerow, I see Mount Nan,""","Throughout the human history, all civilizations, including the oriental outlook on life, ""picking chrysanthemum along the east hedgerow, I see Mount Nan,"" and the Buddhists value of seeking the truth in life and freeing ourselves from desires, have successfully provided a pathway for continuous survival.纵览人类历史上所有的文明，“采菊东篱下，悠然见南山”的东方人生观和离妄求真、法喜禅悦的佛家价值观给人类的继续生存找到了成功的出路。",各种开示,慧日佛教英语,,佛家眼中的经济危机（二）,传喜法师,,,
参禅,investigate Chan,"Since our mind cannot settle down, be stable and free from restlessness, we need to employ some compulsory approaches to let it calm down, such as investigating Chan, reciting the name of the Buddha, prostrating to repent wrongdoing, meditating or chanting sutras or mantras.因为是我们的心不能安住，所以想办法让心安住下来；因为我们的心不能持续，所以要让心持续安住；因为我们的心一直在躁动，所以要让心静下来，就用强制的办法让心静下来。才会有种种的方式——参禅、念佛、拜忏、打坐、持咒、诵经等等。",龙泉寺,LQI20170814,,让心静下来 | Calm Your Mind,学诚法师,,,
参禅,meditation,"善于利用时间的人，无时无刻不是修持参禅的好机缘。 For someone who , makes good use of time , every moment , is goodfor meditation.",各种开示,静思语,,静思语第1条,证严上人,,,
藏传佛教,The Tibetan Buddhist,藏传佛教的幸福学 The Tibetan Buddhist View on happiness,各种开示,慧灯之光系列,,9/21/2017,慈诚罗珠堪布,,,
藏红袍子,maroon skirt/robe,In fact many seem to think that saffron or maroon robes and a peaceful smile are all it takes to be a Buddhist.事实上，很多人似乎认为黄色或红色袍子加上平和的笑容，就是佛教徒的全部。,读书会,正见,,Introduction P1,,,,
藏经阁,,The Tripitaka Sutra Pavilion,微信群,佛教常识的英文正译,,,,,,
草药,herbal tonic,"He also prepared an herbal tonic for the Buddha, made from roots, leaves, and fruits.又用一些山果根叶泡了一服草药给佛陀调养。",读书会,故道白云,,,P584,?,,
刹帝力,Ksatriya,"梵从口生出婆罗门，从肩部生出刹帝力，从腹部生出吠舍，从足部生出首陀罗，以此定四姓的贵贱，这就成为种姓制度的根据。Brahma gave birth to Brahmanas from his mouth, Ksatriyas from his shoulder, Vaisyas from his abdomen and Sudras from his feet. Thus, the social standing of the four castes, noble or humble, was decided according to this.",微信群,佛教常识问答,,第一章第43问,作者：赵朴初,,,
